[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/layers/hashembed.py first seen with mtime 1639175004.2628436
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/idna/__init__.py first seen with mtime 1639175004.071675
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/db/migrations/state.py first seen with mtime 1647540508.0631032
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/types.py first seen with mtime 1620062241.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/locks.py first seen with mtime 1620062243.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/linalg/lapack_lite.cpython-39-darwin.so first seen with mtime 1639175002.348388
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/_compat_pickle.py first seen with mtime 1620062241.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/utils/_os.py first seen with mtime 1647540508.0950248
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/spacy/displacy/render.py first seen with mtime 1639177569.6292129
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/layers/parametricattention.py first seen with mtime 1639175004.2648287
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/views/decorators/cache.py first seen with mtime 1647540508.1033132
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/sqlparse/utils.py first seen with mtime 1638393492.1739566
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/layers/expand_window.py first seen with mtime 1639175004.2627044
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/github/modifiedDibels/dibels_test/views.py first seen with mtime 1649643243.5035024
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/utils/hashable.py first seen with mtime 1647540508.098057
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1638393492.1748593
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/fft/helper.py first seen with mtime 1639175002.542709
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/packaging/__init__.py first seen with mtime 1639175004.47681
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_ssl.cpython-39-darwin.so first seen with mtime 1620062638.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/spacy/pipeline/sentencizer.cpython-39-darwin.so first seen with mtime 1639177569.7015722
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/logging/handlers.py first seen with mtime 1620062243.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/layers/with_nvtx_range.py first seen with mtime 1639175004.26976
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/core/handlers/wsgi.py first seen with mtime 1647540508.04519
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/whitenoise/__init__.py first seen with mtime 1649633934.7520716
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/encodings/aliases.py first seen with mtime 1620062243.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/views/generic/__init__.py first seen with mtime 1647540508.104437
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/charset_normalizer/cd.py first seen with mtime 1639175004.1264508
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/requests/__init__.py first seen with mtime 1639175004.4241197
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/contrib/admin/templatetags/admin_modify.py first seen with mtime 1647540507.681367
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/contrib/sessions/models.py first seen with mtime 1647540507.9713037
